G,Date,Time,Day,School,Unnamed: 5,Opponent,Conf,Unnamed: 8,Pts,Opp,W,L,Streak,Notes
1,"Sep 1, 2018",12:00 PM,Sat,(5) Ohio State,,Oregon State,Pac-12,W,77,31,1,0,W 1,
2,"Sep 8, 2018",3:30 PM,Sat,(4) Ohio State,,Rutgers,Big Ten,W,52,3,2,0,W 2,
3,"Sep 15, 2018",8:00 PM,Sat,(4) Ohio State,N,(15) Texas Christian,Big 12,W,40,28,3,0,W 3,
4,"Sep 22, 2018",3:30 PM,Sat,(4) Ohio State,,Tulane,American,W,49,6,4,0,W 4,
5,"Sep 29, 2018",7:30 PM,Sat,(4) Ohio State,@,(9) Penn State,Big Ten,W,27,26,5,0,W 5,
6,"Oct 6, 2018",4:00 PM,Sat,(3) Ohio State,,Indiana,Big Ten,W,49,26,6,0,W 6,
7,"Oct 13, 2018",12:00 PM,Sat,(3) Ohio State,,Minnesota,Big Ten,W,30,14,7,0,W 7,
8,"Oct 20, 2018",7:30 PM,Sat,(2) Ohio State,@,Purdue,Big Ten,L,20,49,7,1,L 1,
9,"Nov 3, 2018",12:00 PM,Sat,(8) Ohio State,,Nebraska,Big Ten,W,36,31,8,1,W 1,
10,"Nov 10, 2018",12:00 PM,Sat,(8) Ohio State,@,(24) Michigan State,Big Ten,W,26,6,9,1,W 2,
11,"Nov 17, 2018",12:00 PM,Sat,(9) Ohio State,@,Maryland,Big Ten,W,52,51,10,1,W 3,
12,"Nov 24, 2018",12:00 PM,Sat,(10) Ohio State,,(4) Michigan,Big Ten,W,62,39,11,1,W 4,
13,"Dec 1, 2018",8:00 PM,Sat,(6) Ohio State,N,(21) Northwestern,Big Ten,W,45,24,12,1,W 5,Big Ten Championship Game
14,"Jan 1, 2019",5:00 PM,Tue,(5) Ohio State,N,(9) Washington,Pac-12,W,28,23,13,1,W 6,Rose Bowl
1,"Aug 31, 2019",12:00 PM,Sat,(5) Ohio State,,Florida Atlantic,CUSA,W,45,21,1,0,W 1,
